,string
1013,1399.889277
1014,1401.507311
1015,1402.507311
1016,1404.125345
1017,1405.743379
1018,1406.743379
1019,1408.361413
1020,1409.979447
1021,1410.979447
1022,1412.597481
1023,1413.597481
1024,1415.215515
1025,1416.833549
1026,1417.833549
1027,1419.451583
1028,1420.451583
1029,1422.069617
1030,1423.687651
1031,1424.687651
1032,1426.305685
1033,1427.923719
1034,1428.923719
1035,1430.541753
1036,1431.541753
1037,1433.159787
1038,1434.777821
1039,1435.777821
1040,1437.395855
1041,1438.395855
1042,1440.013889
1043,1441.631923
1044,1442.631923
1045,1444.249957
1046,1445.867991
1047,1446.867991
1048,1448.486025
1049,1449.486025
1050,1451.104059
1051,1452.722093
1052,1453.722093
1053,1455.340127
1054,1456.958161
1055,1457.958161
1056,1459.576195
1057,1460.576195
1058,1462.194229
1059,1463.812263
1060,1464.812263
1061,1466.430297
1062,1467.430297
1063,1469.048331
1064,1470.666365
1065,1471.666365
1066,1473.284399
1067,1474.902433
1068,1475.902433
1069,1477.520467
1070,1478.520467
1071,1480.138501
1072,1481.756535
1073,1482.756535
1074,1484.374569
1075,1485.992603
1076,1486.992603
1077,1488.610637
1078,1489.610637
1079,1491.22867
1080,1492.846704
1081,1493.846704
1082,1495.464738
1083,1496.464738
1084,1498.082772
1085,1499.700806
1086,1500.700806
1087,1502.31884
1088,1503.936874
1089,1504.936874
1090,1506.554908
1091,1507.554908
1092,1509.172942
1093,1510.790976
1094,1511.790976
1095,1513.40901
1096,1514.40901
1097,1516.027044
1098,1517.645078
1099,1518.645078
1100,1520.263112
1101,1521.881146
1102,1522.881146
1103,1524.49918
1104,1525.49918
1105,1527.117214
1106,1528.735248
1107,1529.735248
1108,1531.353282
1109,1532.971316
1110,1533.971316
1111,1535.58935
1112,1536.58935
1113,1538.207384
1114,1539.825418
1115,1540.825418
1116,1542.443452
1117,1543.443452
1118,1545.061486
1119,1546.67952
1120,1547.67952
1121,1549.297554
1122,1550.915588
1123,1551.915588
1124,1553.533622
1125,1554.533622
1126,1556.151656
1127,1557.76969
1128,1558.76969
1129,1560.387724
1130,1561.387724
1131,1563.005758
1132,1564.623792
1133,1565.623792
1134,1567.241826
1135,1568.85986
1136,1569.85986
1137,1571.477894
1138,1572.477894
1139,1574.095928
1140,1575.713962
1141,1576.713962
1142,1578.331996
1143,1579.95003
1144,1580.95003
1145,1582.568064
1146,1583.568064
1147,1585.186098
1148,1586.804132
1149,1587.804132
1150,1589.422166
1151,1590.422166
1152,1592.0402
1153,1593.658234
1154,1594.658234
1155,1596.276268
1156,1597.894302
1157,1598.894302
1158,1600.512336
1159,1601.512336
1160,1603.13037
1161,1604.748404
1162,1605.748404
1163,1607.366438
1164,1608.984472
1165,1609.984472
1166,1611.602506
1167,1612.602506
1168,1614.22054
1169,1615.838574
1170,1616.838574
1171,1618.456608
1172,1619.456608
1173,1621.074642
1174,1622.692676
1175,1623.692676
1176,1625.31071
1177,1626.928744
